sg,I'm feeling happy.,"🥲, ☺️, 🌑, 📖, 🤞🏽"
s ,I'm feeling happy.,"👏, 🤖, 📸, 😌, 😮"
 g,I'm feeling happy.,"☺️, 🐧, 🎮, 🐪, 🌑"
--,I'm feeling happy.,"🙋‍♂️, 🐪, 🥺, 🐴, 🏣"
sg,I'm feeling very sad.,"💯, 🎮, 😹, 🎀, 👉👈"
s ,I'm feeling very sad.,"👏, 🍁, ❗, 🚫, 💕"
 g,I'm feeling very sad.,"🎮, 💯, 😢💔, 🐧, 🎶"
--,I'm feeling very sad.,"🐴, 👏, 🤛, 👨, 😊"
sg,I'm angry with you.,"😭, 📷, ☹️, 😀, 👩"
s ,I'm angry with you.,"👩, 🐸, 🙇🏻, 🐊, 😇"
 g,I'm angry with you.,"😀, 🤬, 😂😂, 😍, 🚷"
--,I'm angry with you.,"😤, 👹, 😠, 😝, 🚷"
sg,I love pizza.,"✔️, 💜, 😭, 🚨, 🌵"
s ,I love pizza.,"🍕, 🤮, ✔️, 🌿, ❤️"
 g,I love pizza.,"👅, ✔️, 💓, 💜, 🤘😝"
--,I love pizza.,"🥺, 🚫, ✊, ✖️, 🤤"
sg,I dislike broccoli.,"😍, 👎🏽, 👎🏾, 🌹, 🤖"
s ,I dislike broccoli.,"😂, 🌚, 🌹, 🥦, 🙋‍♀️"
 g,I dislike broccoli.,"😍, 🍃, 🌚, 👎🏻, 🍵"
--,I dislike broccoli.,"🥺, 😍, 👍🏼, 🌚, 🙄"
sg,The sunrise this morning was beautiful.,"☀️, 👏🏾🙌🏾, 🤌, 😻, 💞"
s ,The sunrise this morning was beautiful.,"😌, 👇🏽, 🎬, 🍫, 🌤️"
 g,The sunrise this morning was beautiful.,"☀️, 🎬, 😌, 🙏🏻, 🌿"
--,The sunrise this morning was beautiful.,"🌤️, 🤌🏽, 😌, 🎬, ☺️"
sg,"It's been a long, tiring day.","🌛, 🎮, 😱, 💤, 💦"
s ,"It's been a long, tiring day.","😋, 🐀, 📖, 😂, ❓"
 g,"It's been a long, tiring day.","💦, 💯💪🏽, 💘, 🌛, 😁"
--,"It's been a long, tiring day.","😋, 💦, 🌛, 🎃, 💘"
sg,I just won the lottery!,"😭, ⭐⭐, 😦, 🚨, 🥀🔥"
s ,I just won the lottery!,"😭, 🙅🏻, 🙁, 😦, 🦄"
 g,I just won the lottery!,"💰💰💰, 😦, 👌🏼, 🤝, 🤞🏼"
--,I just won the lottery!,"🙌🏽, 👇, 🤞🏼, 👹, 😞"
sg,I can't believe we lost the game.,"📱, 👏, 🚫, ⚽, 😱"
s ,I can't believe we lost the game.,"🚫, 👆, ✈️, 🙁, ❤️"
 g,I can't believe we lost the game.,"🚫, 🎬, 😦, 😂😭, 👈"
--,I can't believe we lost the game.,"🚫, 😞, 🐦, ✈️, ❤️"
sg,I'm so excited for the weekend.,"🔥🔥, 🍑, 😚, 🤞🏽, 🌱"
s ,I'm so excited for the weekend.,"❗, 💝, 🍺, 🏁, 🎾"
 g,I'm so excited for the weekend.,"🙌🏾, 🎶, 💙💙, 🔥🔥🔥, 😂👏🏼"
--,I'm so excited for the weekend.,"👄, 📷, 🍺, ✈️, 🌹"
sg,The movie was boring.,"💞, 🖕🏽, 👌🏼👌🏼, 🤌, 📲"
s ,The movie was boring.,"💫, 🐰, 💝, 💥, ✋"
 g,The movie was boring.,"😈, 🤲, 💀, 😎, 💞"
--,The movie was boring.,"💫, 😔, 🤲, 👀, 💞"
sg,That was the best concert ever!,"🤗, 😩👌, 👏, 💋, 😚"
s ,That was the best concert ever!,"😨, 💗, 🎹, 💃, 🙈"
 g,That was the best concert ever!,"😛, 😲, 😭🙏🏻, 💋, 💗"
--,That was the best concert ever!,"😛, 🌚, 🤣, ⭐, 👏"
sg,I'm scared of spiders.,"😱, 👐, 🙂, 😹, 😑"
s ,I'm scared of spiders.,"🌞, 👼, 🕷️, 🐝, 😲"
 g,I'm scared of spiders.,"🐝, 🎶, 😲, 😚, 🎃"
--,I'm scared of spiders.,"🕷️, 💖, 🐴, 🐝, 🤟"
sg,My heart is broken.,"😭😭, 🔑, 😊, ☠️, 👌"
s ,My heart is broken.,"🌭, 🎬, 🎵, 😌, 🐘"
 g,My heart is broken.,"👏🏻, 😭😭, 💀, 🐐, 🍫"
--,My heart is broken.,", ❤️, 🇺🇸, 🙌🏼, 🤞🏽"
sg,I can't wait for my birthday.,"😂😂, 🍭, 💎🙌, 🙈🙈, 💕✨"
s ,I can't wait for my birthday.,"🐙, 🙎, 🐘, ❤️, 🌴"
 g,I can't wait for my birthday.,"😍😍, 💖💖💖, 😓, 🎬, 🙏🥰"
